[INFO:2021-04-13 16:57:12,258] waiting OPENING sell-liquid/buy-bitbank margin:2467, open_threshold:4631
[INFO:2021-04-13 16:57:15,331] waiting OPENING sell-liquid/buy-bitbank margin:2854, open_threshold:4631
[INFO:2021-04-13 16:57:18,393] waiting OPENING sell-liquid/buy-bitbank margin:2854, open_threshold:4631
[INFO:2021-04-13 16:57:21,435] waiting OPENING sell-liquid/buy-bitbank margin:-1017, open_threshold:4631
[INFO:2021-04-13 16:57:24,485] waiting OPENING sell-liquid/buy-bitbank margin:-1, open_threshold:4631
[INFO:2021-04-13 16:57:27,560] waiting OPENING sell-liquid/buy-bitbank margin:-1, open_threshold:4631
[INFO:2021-04-13 16:57:30,605] waiting OPENING sell-liquid/buy-bitbank margin:29, open_threshold:4631
[INFO:2021-04-13 16:57:33,648] waiting OPENING sell-liquid/buy-bitbank margin:1052, open_threshold:4631
[INFO:2021-04-13 16:57:36,709] waiting OPENING sell-liquid/buy-bitbank margin:25, open_threshold:4631
[INFO:2021-04-13 16:57:39,752] waiting OPENING sell-liquid/buy-bitbank margin:25, open_threshold:4631
[INFO:2021-04-13 16:57:42,796] waiting OPENING sell-liquid/buy-bitbank margin:1177, open_threshold:4631
[INFO:2021-04-13 16:57:45,854] waiting OPENING sell-liquid/buy-bitbank margin:1177, open_threshold:4631
[INFO:2021-04-13 16:57:48,895] waiting OPENING sell-liquid/buy-bitbank margin:3877, open_threshold:4631
[INFO:2021-04-13 16:57:51,955] waiting OPENING sell-liquid/buy-bitbank margin:3878, open_threshold:4631
[INFO:2021-04-13 16:57:55,013] waiting OPENING sell-liquid/buy-bitbank margin:4149, open_threshold:4631
[INFO:2021-04-13 16:57:58,117] waiting OPENING sell-liquid/buy-bitbank margin:4724, open_threshold:4631
[INFO:2021-04-13 16:58:02,531] waiting CLOSING sell-bitbank/buy-liquid margin:-4637, close_threshold:-1724
[INFO:2021-04-13 16:58:05,591] waiting CLOSING sell-bitbank/buy-liquid margin:-52, close_threshold:-1724
[INFO:2021-04-13 16:58:09,100] waiting OPENING sell-liquid/buy-bitbank margin:74, open_threshold:4631
[INFO:2021-04-13 16:58:12,153] waiting OPENING sell-bitbank/buy-liquid margin:-480, open_threshold:4631
[INFO:2021-04-13 16:58:15,200] waiting OPENING sell-bitbank/buy-liquid margin:564, open_threshold:4631
[INFO:2021-04-13 16:58:18,249] waiting OPENING sell-bitbank/buy-liquid margin:1264, open_threshold:4631
[INFO:2021-04-13 16:58:21,302] waiting OPENING sell-liquid/buy-bitbank margin:-227, open_threshold:4631
[INFO:2021-04-13 16:58:24,342] waiting OPENING sell-liquid/buy-bitbank margin:-371, open_threshold:4631
[INFO:2021-04-13 16:58:27,405] waiting OPENING sell-liquid/buy-bitbank margin:-688, open_threshold:4631
[INFO:2021-04-13 16:58:30,455] waiting OPENING sell-liquid/buy-bitbank margin:-300, open_threshold:4631
[INFO:2021-04-13 16:58:33,522] waiting OPENING sell-liquid/buy-bitbank margin:3226, open_threshold:4631
[INFO:2021-04-13 16:58:36,563] waiting OPENING sell-liquid/buy-bitbank margin:3367, open_threshold:4631
[INFO:2021-04-13 16:58:39,635] waiting OPENING sell-liquid/buy-bitbank margin:2550, open_threshold:4631
[INFO:2021-04-13 16:58:42,737] waiting OPENING sell-liquid/buy-bitbank margin:3097, open_threshold:4631
[INFO:2021-04-13 16:58:45,787] waiting OPENING sell-liquid/buy-bitbank margin:5067, open_threshold:4631
[INFO:2021-04-13 16:58:49,301] waiting CLOSING sell-bitbank/buy-liquid margin:-5793, close_threshold:-2067
