[INFO:2020-03-25 16:50:29,733] waiting OPENING sell-coincheck/buy-liquid margin:96, open_threshold:2000
[INFO:2020-03-25 16:50:30,816] waiting OPENING sell-coincheck/buy-liquid margin:96, open_threshold:2000
[INFO:2020-03-25 16:50:31,925] waiting OPENING sell-coincheck/buy-liquid margin:-24, open_threshold:2000
[INFO:2020-03-25 16:50:32,979] waiting OPENING sell-coincheck/buy-liquid margin:-24, open_threshold:2000
[INFO:2020-03-25 16:50:34,070] waiting OPENING sell-coincheck/buy-liquid margin:19, open_threshold:2000
[INFO:2020-03-25 16:50:35,142] waiting OPENING sell-coincheck/buy-liquid margin:19, open_threshold:2000
[INFO:2020-03-25 16:50:36,192] waiting OPENING sell-coincheck/buy-liquid margin:183, open_threshold:2000
[INFO:2020-03-25 16:50:37,239] waiting OPENING sell-coincheck/buy-liquid margin:188, open_threshold:2000
[INFO:2020-03-25 16:50:38,302] waiting OPENING sell-coincheck/buy-liquid margin:498, open_threshold:2000
[INFO:2020-03-25 16:50:39,355] waiting OPENING sell-coincheck/buy-liquid margin:498, open_threshold:2000
[INFO:2020-03-25 16:50:40,414] waiting OPENING sell-coincheck/buy-liquid margin:501, open_threshold:2000
[INFO:2020-03-25 16:50:41,473] waiting OPENING sell-coincheck/buy-liquid margin:501, open_threshold:2000
[INFO:2020-03-25 16:50:42,528] waiting OPENING sell-coincheck/buy-liquid margin:642, open_threshold:2000
[INFO:2020-03-25 16:50:43,589] waiting OPENING sell-coincheck/buy-liquid margin:642, open_threshold:2000
[INFO:2020-03-25 16:50:44,651] waiting OPENING sell-coincheck/buy-liquid margin:767, open_threshold:2000
[INFO:2020-03-25 16:50:45,706] waiting OPENING sell-coincheck/buy-liquid margin:767, open_threshold:2000
[INFO:2020-03-25 16:50:46,763] waiting OPENING sell-coincheck/buy-liquid margin:692, open_threshold:2000
[INFO:2020-03-25 16:50:47,810] waiting OPENING sell-coincheck/buy-liquid margin:123, open_threshold:2000
[INFO:2020-03-25 16:50:48,878] waiting OPENING sell-coincheck/buy-liquid margin:123, open_threshold:2000
[INFO:2020-03-25 16:50:49,928] waiting OPENING sell-coincheck/buy-liquid margin:123, open_threshold:2000
[INFO:2020-03-25 16:50:50,983] waiting OPENING sell-coincheck/buy-liquid margin:83, open_threshold:2000
[INFO:2020-03-25 16:50:52,033] waiting OPENING sell-coincheck/buy-liquid margin:83, open_threshold:2000
[INFO:2020-03-25 16:50:53,100] waiting OPENING sell-coincheck/buy-liquid margin:34, open_threshold:2000
[INFO:2020-03-25 16:50:54,164] waiting OPENING sell-coincheck/buy-liquid margin:34, open_threshold:2000
[INFO:2020-03-25 16:50:55,229] waiting OPENING sell-coincheck/buy-liquid margin:39, open_threshold:2000
[INFO:2020-03-25 16:50:56,285] waiting OPENING sell-coincheck/buy-liquid margin:112, open_threshold:2000
[INFO:2020-03-25 16:50:57,350] waiting OPENING sell-coincheck/buy-liquid margin:135, open_threshold:2000
[INFO:2020-03-25 16:50:58,413] waiting OPENING sell-coincheck/buy-liquid margin:135, open_threshold:2000
[INFO:2020-03-25 16:50:59,465] waiting OPENING sell-coincheck/buy-liquid margin:220, open_threshold:2000
[INFO:2020-03-25 16:51:00,515] waiting OPENING sell-coincheck/buy-liquid margin:220, open_threshold:2000
[INFO:2020-03-25 16:51:01,592] waiting OPENING sell-coincheck/buy-liquid margin:254, open_threshold:2000
[INFO:2020-03-25 16:51:02,663] waiting OPENING sell-coincheck/buy-liquid margin:254, open_threshold:2000
[INFO:2020-03-25 16:51:03,716] waiting OPENING sell-coincheck/buy-liquid margin:220, open_threshold:2000
[INFO:2020-03-25 16:51:04,769] waiting OPENING sell-coincheck/buy-liquid margin:220, open_threshold:2000
[INFO:2020-03-25 16:51:05,827] waiting OPENING sell-coincheck/buy-liquid margin:-52, open_threshold:2000
[INFO:2020-03-25 16:51:06,876] waiting OPENING sell-coincheck/buy-liquid margin:-52, open_threshold:2000
[INFO:2020-03-25 16:51:07,921] waiting OPENING sell-coincheck/buy-liquid margin:23, open_threshold:2000
[INFO:2020-03-25 16:51:08,993] waiting OPENING sell-coincheck/buy-liquid margin:23, open_threshold:2000
[INFO:2020-03-25 16:51:10,162] waiting OPENING sell-coincheck/buy-liquid margin:1, open_threshold:2000
