[INFO:2020-03-25 03:41:20,524] waiting OPENING sell-liquid/buy-coincheck margin:102, open_threshold:2000
[INFO:2020-03-25 03:41:21,580] waiting OPENING sell-liquid/buy-coincheck margin:-115, open_threshold:2000
[INFO:2020-03-25 03:41:22,634] waiting OPENING sell-liquid/buy-coincheck margin:-115, open_threshold:2000
[INFO:2020-03-25 03:41:23,688] waiting OPENING sell-liquid/buy-coincheck margin:-120, open_threshold:2000
[INFO:2020-03-25 03:41:24,744] waiting OPENING sell-liquid/buy-coincheck margin:-120, open_threshold:2000
[INFO:2020-03-25 03:41:25,801] waiting OPENING sell-coincheck/buy-liquid margin:-100, open_threshold:2000
[INFO:2020-03-25 03:41:26,859] waiting OPENING sell-liquid/buy-coincheck margin:272, open_threshold:2000
[INFO:2020-03-25 03:41:27,926] waiting OPENING sell-liquid/buy-coincheck margin:206, open_threshold:2000
[INFO:2020-03-25 03:41:28,972] waiting OPENING sell-liquid/buy-coincheck margin:206, open_threshold:2000
[INFO:2020-03-25 03:41:30,028] waiting OPENING sell-liquid/buy-coincheck margin:207, open_threshold:2000
[INFO:2020-03-25 03:41:31,123] waiting OPENING sell-liquid/buy-coincheck margin:207, open_threshold:2000
[INFO:2020-03-25 03:41:32,190] waiting OPENING sell-liquid/buy-coincheck margin:208, open_threshold:2000
[INFO:2020-03-25 03:41:33,248] waiting OPENING sell-liquid/buy-coincheck margin:208, open_threshold:2000
[INFO:2020-03-25 03:41:34,310] waiting OPENING sell-liquid/buy-coincheck margin:239, open_threshold:2000
[INFO:2020-03-25 03:41:35,398] waiting OPENING sell-liquid/buy-coincheck margin:239, open_threshold:2000
[INFO:2020-03-25 03:41:36,451] waiting OPENING sell-liquid/buy-coincheck margin:332, open_threshold:2000
[INFO:2020-03-25 03:41:37,494] waiting OPENING sell-liquid/buy-coincheck margin:332, open_threshold:2000
[INFO:2020-03-25 03:41:38,539] waiting OPENING sell-liquid/buy-coincheck margin:59, open_threshold:2000
[INFO:2020-03-25 03:41:39,596] waiting OPENING sell-liquid/buy-coincheck margin:-282, open_threshold:2000
[INFO:2020-03-25 03:41:40,643] waiting OPENING sell-liquid/buy-coincheck margin:-149, open_threshold:2000
[INFO:2020-03-25 03:41:41,763] waiting OPENING sell-liquid/buy-coincheck margin:-154, open_threshold:2000
[INFO:2020-03-25 03:41:42,812] waiting OPENING sell-liquid/buy-coincheck margin:-154, open_threshold:2000
[INFO:2020-03-25 03:41:43,878] waiting OPENING sell-liquid/buy-coincheck margin:-153, open_threshold:2000
[INFO:2020-03-25 03:41:44,940] waiting OPENING sell-liquid/buy-coincheck margin:-153, open_threshold:2000
[INFO:2020-03-25 03:41:45,993] waiting OPENING sell-liquid/buy-coincheck margin:-151, open_threshold:2000
[INFO:2020-03-25 03:41:47,048] waiting OPENING sell-liquid/buy-coincheck margin:-151, open_threshold:2000
[INFO:2020-03-25 03:41:48,102] waiting OPENING sell-liquid/buy-coincheck margin:439, open_threshold:2000
[INFO:2020-03-25 03:41:49,157] waiting OPENING sell-liquid/buy-coincheck margin:439, open_threshold:2000
[INFO:2020-03-25 03:41:50,238] waiting OPENING sell-liquid/buy-coincheck margin:316, open_threshold:2000
[INFO:2020-03-25 03:41:51,296] waiting OPENING sell-liquid/buy-coincheck margin:316, open_threshold:2000
[INFO:2020-03-25 03:41:52,342] waiting OPENING sell-liquid/buy-coincheck margin:514, open_threshold:2000
[INFO:2020-03-25 03:41:53,391] waiting OPENING sell-liquid/buy-coincheck margin:514, open_threshold:2000
[INFO:2020-03-25 03:41:54,435] waiting OPENING sell-liquid/buy-coincheck margin:362, open_threshold:2000
