[INFO:2020-03-25 10:40:49,602] waiting OPENING sell-liquid/buy-coincheck margin:-305, open_threshold:2000
[INFO:2020-03-25 10:40:50,662] waiting OPENING sell-liquid/buy-coincheck margin:-305, open_threshold:2000
[INFO:2020-03-25 10:40:51,715] waiting OPENING sell-liquid/buy-coincheck margin:-170, open_threshold:2000
[INFO:2020-03-25 10:40:52,757] waiting OPENING sell-liquid/buy-coincheck margin:-170, open_threshold:2000
[INFO:2020-03-25 10:40:53,813] waiting OPENING sell-coincheck/buy-liquid margin:-396, open_threshold:2000
[INFO:2020-03-25 10:40:54,871] waiting OPENING sell-coincheck/buy-liquid margin:-396, open_threshold:2000
[INFO:2020-03-25 10:40:55,926] waiting OPENING sell-liquid/buy-coincheck margin:-104, open_threshold:2000
[INFO:2020-03-25 10:40:56,991] waiting OPENING sell-liquid/buy-coincheck margin:-77, open_threshold:2000
[INFO:2020-03-25 10:40:58,032] waiting OPENING sell-liquid/buy-coincheck margin:-76, open_threshold:2000
[INFO:2020-03-25 10:40:59,088] waiting OPENING sell-liquid/buy-coincheck margin:-76, open_threshold:2000
[INFO:2020-03-25 10:41:00,233] waiting OPENING sell-coincheck/buy-liquid margin:126, open_threshold:2000
[INFO:2020-03-25 10:41:01,299] waiting OPENING sell-coincheck/buy-liquid margin:126, open_threshold:2000
[INFO:2020-03-25 10:41:02,355] waiting OPENING sell-coincheck/buy-liquid margin:226, open_threshold:2000
[INFO:2020-03-25 10:41:03,406] waiting OPENING sell-coincheck/buy-liquid margin:226, open_threshold:2000
[INFO:2020-03-25 10:41:04,465] waiting OPENING sell-coincheck/buy-liquid margin:226, open_threshold:2000
[INFO:2020-03-25 10:41:05,523] waiting OPENING sell-coincheck/buy-liquid margin:226, open_threshold:2000
[INFO:2020-03-25 10:41:06,569] waiting OPENING sell-coincheck/buy-liquid margin:-342, open_threshold:2000
[INFO:2020-03-25 10:41:07,618] waiting OPENING sell-coincheck/buy-liquid margin:-342, open_threshold:2000
[INFO:2020-03-25 10:41:08,668] waiting OPENING sell-coincheck/buy-liquid margin:-292, open_threshold:2000
[INFO:2020-03-25 10:41:09,713] waiting OPENING sell-coincheck/buy-liquid margin:-292, open_threshold:2000
[INFO:2020-03-25 10:41:10,773] waiting OPENING sell-coincheck/buy-liquid margin:-292, open_threshold:2000
[INFO:2020-03-25 10:41:11,820] waiting OPENING sell-coincheck/buy-liquid margin:-292, open_threshold:2000
[INFO:2020-03-25 10:41:12,867] waiting OPENING sell-coincheck/buy-liquid margin:-76, open_threshold:2000
[INFO:2020-03-25 10:41:13,917] waiting OPENING sell-coincheck/buy-liquid margin:-76, open_threshold:2000
[INFO:2020-03-25 10:41:14,972] waiting OPENING sell-coincheck/buy-liquid margin:-243, open_threshold:2000
[INFO:2020-03-25 10:41:16,021] waiting OPENING sell-coincheck/buy-liquid margin:-243, open_threshold:2000
[INFO:2020-03-25 10:41:17,064] waiting OPENING sell-coincheck/buy-liquid margin:204, open_threshold:2000
[INFO:2020-03-25 10:41:18,115] waiting OPENING sell-coincheck/buy-liquid margin:204, open_threshold:2000
[INFO:2020-03-25 10:41:19,165] waiting OPENING sell-coincheck/buy-liquid margin:173, open_threshold:2000
[INFO:2020-03-25 10:41:20,226] waiting OPENING sell-coincheck/buy-liquid margin:173, open_threshold:2000
[INFO:2020-03-25 10:41:21,288] waiting OPENING sell-coincheck/buy-liquid margin:1, open_threshold:2000
[INFO:2020-03-25 10:41:22,353] waiting OPENING sell-coincheck/buy-liquid margin:1, open_threshold:2000
[INFO:2020-03-25 10:41:23,411] waiting OPENING sell-coincheck/buy-liquid margin:-61, open_threshold:2000
[INFO:2020-03-25 10:41:24,459] waiting OPENING sell-coincheck/buy-liquid margin:-61, open_threshold:2000
[INFO:2020-03-25 10:41:25,511] waiting OPENING sell-coincheck/buy-liquid margin:-61, open_threshold:2000
[INFO:2020-03-25 10:41:26,562] waiting OPENING sell-coincheck/buy-liquid margin:-61, open_threshold:2000
[INFO:2020-03-25 10:41:27,629] waiting OPENING sell-coincheck/buy-liquid margin:-335, open_threshold:2000
[INFO:2020-03-25 10:41:28,681] waiting OPENING sell-coincheck/buy-liquid margin:-335, open_threshold:2000
[INFO:2020-03-25 10:41:29,749] waiting OPENING sell-coincheck/buy-liquid margin:-268, open_threshold:2000
[INFO:2020-03-25 10:41:30,804] waiting OPENING sell-coincheck/buy-liquid margin:-268, open_threshold:2000
[INFO:2020-03-25 10:41:31,857] waiting OPENING sell-coincheck/buy-liquid margin:-380, open_threshold:2000
[INFO:2020-03-25 10:41:32,906] waiting OPENING sell-coincheck/buy-liquid margin:-380, open_threshold:2000
[INFO:2020-03-25 10:41:33,967] waiting OPENING sell-coincheck/buy-liquid margin:-269, open_threshold:2000
[INFO:2020-03-25 10:41:35,147] waiting OPENING sell-liquid/buy-coincheck margin:-390, open_threshold:2000
[INFO:2020-03-25 10:41:36,191] waiting OPENING sell-liquid/buy-coincheck margin:-390, open_threshold:2000
[INFO:2020-03-25 10:41:37,260] waiting OPENING sell-coincheck/buy-liquid margin:-42, open_threshold:2000
[INFO:2020-03-25 10:41:38,307] waiting OPENING sell-coincheck/buy-liquid margin:-42, open_threshold:2000
[INFO:2020-03-25 10:41:39,354] waiting OPENING sell-coincheck/buy-liquid margin:-42, open_threshold:2000
[INFO:2020-03-25 10:41:40,406] waiting OPENING sell-coincheck/buy-liquid margin:-42, open_threshold:2000
[INFO:2020-03-25 10:41:41,465] waiting OPENING sell-coincheck/buy-liquid margin:-42, open_threshold:2000
[INFO:2020-03-25 10:41:42,525] waiting OPENING sell-coincheck/buy-liquid margin:-42, open_threshold:2000
[INFO:2020-03-25 10:41:43,593] waiting OPENING sell-coincheck/buy-liquid margin:-42, open_threshold:2000
